word,class
gibber,TRUE
ginger,TRUE
ginzo,TRUE
gippo,TRUE
gobber,TRUE
goof,TRUE
gook,TRUE
gossip,TRUE
gossip,TRUE
graceless,TRUE
greaseball,TRUE
greed,TRUE
grimace,TRUE
gringo,TRUE
groid,TRUE
grotesque,TRUE
grouch,TRUE
grouchy,TRUE
gruesome,TRUE
gubba,TRUE
gurrier,TRUE
gyp,TRUE
gyppo,TRUE
hairyback,TRUE
halfhearted,TRUE
halfrican,TRUE
haphazard,TRUE
harridan,TRUE
hate,TRUE
hateful,TRUE
hater,TRUE
hayseed,TRUE
heartless,TRUE
heathen,TRUE
heavy-handed,TRUE
heckle,TRUE
heeb,TRUE
heretical,TRUE
hick,TRUE
hillbilly,TRUE
hoax,TRUE
hoe,TRUE
honky,TRUE
hopeless,TRUE
horrendous,TRUE
horrid,TRUE
huckster,TRUE
humiliate,TRUE
humping,TRUE
hurt,TRUE
hustler,TRUE
hypocrite,TRUE
idiocy,TRUE
idiot,TRUE
ignorant,TRUE
ikey,TRUE
imbecile,TRUE
immoral,TRUE
immorality,TRUE
imperious,TRUE
impertinent,TRUE
impiety,TRUE
incompetence,TRUE
inconsiderate,TRUE
incorrigible,TRUE
ineptitude,TRUE
infidel,TRUE
infiltrator,TRUE
ingrate,TRUE
inhospitality,TRUE
inhumanity,TRUE
injun,TRUE
insane,TRUE
insanity,TRUE
insincerity,TRUE
insubordinate,TRUE
insufferable,TRUE
insult,TRUE
insulting,TRUE
intimidate,TRUE
intimidation,TRUE
intrude,TRUE
invective,TRUE
invidious,TRUE
irritant,TRUE
ivory,TRUE
jagoff,TRUE
jealous,TRUE
jeer,TRUE
jerk,TRUE
jigaboo,TRUE
kick,TRUE
kike,TRUE
kill,TRUE
killer,TRUE
kook,TRUE
kooky,TRUE
kraut,TRUE
kyke,TRUE
lackadaisical,TRUE
latrino,TRUE
lecher,TRUE
lechery,TRUE
leer,TRUE
lesbo,TRUE
lewd,TRUE
lewdness,TRUE
lezzie,TRUE
licentious,TRUE
lie,TRUE
loathsome,TRUE
loser,TRUE
lousy,TRUE
lubra,TRUE
lurid,TRUE
lurk,TRUE
madman,TRUE
madness,TRUE
maggot,TRUE
maliciousness,TRUE
malign,TRUE
malodorous,TRUE
manipulative,TRUE
massacre,TRUE
merciless,TRUE
midget,TRUE
miser,TRUE
mockery,TRUE
molest,TRUE
molestation,TRUE
mong,TRUE
monster,TRUE
mook,TRUE
mope,TRUE
moron,TRUE
motherfucker,TRUE
mudslinging,TRUE
muff,TRUE
mulato,TRUE
murder,TRUE
murder,TRUE
mutt,TRUE
muzzie,TRUE
nacho,TRUE
nag,TRUE
nagging,TRUE
nastiness,TRUE
nasty,TRUE
nefarious,TRUE
negligence,TRUE
negligent,TRUE
negro,TRUE
nigger,TRUE
niglet,TRUE
nonsense,TRUE
nuisance,TRUE
nutsack,TRUE
obliterate,TRUE
obscene,TRUE
obscenity,TRUE
obsess,TRUE
obsessiveness,TRUE
ocker,TRUE
ofay,TRUE
officious,TRUE
onslaught,TRUE
outrageousness,TRUE
overzealous,TRUE
paki,TRUE
paleface,TRUE
pansy,TRUE
paranoia,TRUE
paranoid,TRUE
peevish,TRUE
penis,TRUE
perfunctory,TRUE
perish,TRUE
perverse,TRUE
perversion,TRUE
perverted,TRUE
piss,TRUE
plague,TRUE
pogue,TRUE
poisonous,TRUE
polack,TRUE
pommy,TRUE
pompous,TRUE
pout,TRUE
prattle,TRUE
prejudicial,TRUE
presumptuous,TRUE
pretentious,TRUE
prick,TRUE
profane,TRUE
pry,TRUE
pullock,TRUE
pussy,TRUE
queer,TRUE
raghead,TRUE
rant,TRUE
recalcitrant,TRUE
recklessness,TRUE
redneck,TRUE
remorseless,TRUE
reprehensible,TRUE
retard,TRUE
revengeful,TRUE
revile,TRUE
ridicule,TRUE
rot,TRUE
rotten,TRUE
roundeye,TRUE
rude,TRUE
ruffian,TRUE
ruthlessness,TRUE
sanctimonious,TRUE
savage,TRUE
savage,TRUE
scag,TRUE
scandalize,TRUE
scank,TRUE
scheming,TRUE
schlong,TRUE
schmuck,TRUE
scoundrel,TRUE
scowl,TRUE
scum,TRUE
second-class,TRUE
seedy,TRUE
self-interested,TRUE
servitude,TRUE
shady,TRUE
sham,TRUE
shame,TRUE
shame,TRUE
shamelessness,TRUE
shirk,TRUE
shirker,TRUE
shit,TRUE
shitty,TRUE
shyster,TRUE
silly,TRUE
skanger,TRUE
sketchy,TRUE
slander,TRUE
slanderous,TRUE
slant,TRUE
slap,TRUE
slaughter,TRUE
sleazy,TRUE
slothful,TRUE
sluggish,TRUE
slut,TRUE
smug,TRUE
smut,TRUE
sneaky,TRUE
sneer,TRUE
sneer,TRUE
snout,TRUE
snowflake,TRUE
sour,TRUE
spick,TRUE
spide,TRUE
spigger,TRUE
spiteful,TRUE
spitefulness,TRUE
spoil,TRUE
spurn,TRUE
squaw,TRUE
stench,TRUE
stink,TRUE
stink,TRUE
stinking,TRUE
strange,TRUE
strangle,TRUE
stubborn,TRUE
substandard,TRUE
sucker,TRUE
sulk,TRUE
swagger,TRUE
swindle,TRUE
tantrum,TRUE
tart,TRUE
taunt,TRUE
tedious,TRUE
thoughtless,TRUE
throttle,TRUE
torment,TRUE
torment,TRUE
torture,TRUE
torture,TRUE
traitor,TRUE
tramp,TRUE
tranny,TRUE
travesty,TRUE
treasonous,TRUE
twat,TRUE
twink,TRUE
twisted,TRUE
tyrannical,TRUE
ugliness,TRUE
ugly,TRUE
unbearable,TRUE
uneasy,TRUE
unethical,TRUE
unfaithful,TRUE
unfeeling,TRUE
unhealthy,TRUE
unruly,TRUE
unwanted,TRUE
unworthy,TRUE
usurper,TRUE
vengeful,TRUE
viciousness,TRUE
vile,TRUE
violation,TRUE
violent,TRUE
viper,TRUE
vomit,TRUE
vulgar,TRUE
warped,TRUE
waste,TRUE
wastefulness,TRUE
wetback,TRUE
whine,TRUE
whore,TRUE
wigger,TRUE
wolly,TRUE
wop,TRUE
worthless,TRUE
wreck,TRUE
wreck,TRUE
yarpie,TRUE
yokel,TRUE
zealot,TRUE
zigabo,TRUE
